Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
11583,S Catharina,Amsterdam,"West Central Africa and St. Helena, port unspecified",,1671,,"Lens, Christoffel"
11584,S Franciscus,Texel,Mpinda,Cayenne,1669,,"Anker, Cornelis van den"
11585,Huis ter Laan,Texel,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Canary Islands,1670,,"Aggesz, Cornelis"
11586,Verstoorde Leeuw,Rotterdam,New Calabar,Cadiz,1670,,"Cleijn, Evert Mathijsz"
11587,Visser,Texel,Loango,Curacao,1669,,"Kempsen, Frans"
11588,Phenix,Texel,Loango,Curacao,1674,,"Verwer, Reijer Pietersen"
11589,Jupiter,Amsterdam,"West Central Africa and St. Helena, port unspecified",Suriname,1671,,"Voogt, Barent Harmensz"
11590,Gekroonde Bril,Texel,Gambia,Cayenne,1664,,"Victol, Cornelis Cornelisz"
11591, ,Zeeland,"West Central Africa and St. Helena, port unspecified",Cartagena,1701,400,
11592,Land van Belofte,"Bahia, port unspecified",Princes Island,"Bahia, port unspecified",1644,,
11593,Drie Koningen,"Netherlands, port unspecified",,,1597,,"Kerckhove, Melchior van den<br/> Veken, Johan van der"
11594, ,"Netherlands, port unspecified","West Central Africa and St. Helena, port unspecified",Rio de Janeiro,1597,,
11596,Overwinning van Rijssel,Middelburg,"West Central Africa and St. Helena, port unspecified",St. Eustatius,1716,,Vele
11597, ,"Pernambuco, port unspecified","West Central Africa and St. Helena, port unspecified","Pernambuco, port unspecified",1630,280,"Sijmonsz, Dirck"
11599,Sloterdijk,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1641,,
11600, ,"Pernambuco, port unspecified","Africa., port unspecified","Pernambuco, port unspecified",1639,77,
11601,Haarlem,Amsterdam,Sao Tome,"Americas, region unspecified",1645,,"Hoen, Sijmen"
11602,Eendracht van Amsterdam,Texel,"Africa., port unspecified","Pernambuco, port unspecified",1646,,"Bottelier, Jan Teunissen<br/> Janssen, Barent"
11603,Eendracht van Enkhuizen,Texel,"Africa., port unspecified","Pernambuco, port unspecified",1646,,"Schuyt, Cornelys"
11605,Samaritain,Rotterdam,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",,1646,,"Neel, Matys<br/> Burch, Hendrik van den"
11607, ,Lisbon,Sao Tome,Lisbon,1671,,"Sierwegen, Jan"
11608,Jonge Samaritaen,,Calabar,,1646,,"Telier, Jan"
11610,Vredenburg,Texel,Gambia,"French Caribbean, colony unspecified",1670,,"Backer, Joris Gerritsz"
11643,S Pieter,Texel,New Calabar,Tenerife,1658,,"Kimmel, Simon Sandersz"
11644,Vrede,"Netherlands, port unspecified",,"Martinique, port unspecified",1668,16,"Hoorn, Jan Pietersz<br/> Breijhaan, Hendrik"
11648,Hoop,Texel,Ardra,Curacao,1664,,"Meijndertse, Ide"
11649,Brak,Texel,"West Central Africa and St. Helena, port unspecified",Curacao,1668,,"Speldernuen, Jan Jacobsz"
11650,Margareta,Texel,Boary,Curacao,1672,,"Breehaan, Hendrick<br/> Pietersen, Andries"
11653,S Laurens,Sao Tome or Princes Island,Luanda,"Americas, region unspecified",1641,,
11678,S Maria,Texel,Ardra,Cartagena,1656,,"Schrael, Jan Jansz"
11689,Liefde (a) Stokholmslot,,"Africa., port unspecified",Curacao,1660,,"Schrooder, Jurrien<br/> Neef, Cornelis Sijmonsz"
11691,Vergulde Zalm,Texel,Ardra,La Guaira,1659,,"Dijck, Gerrit Jansz van"
11707,Coninck Salomon,Texel,Ardra,Curacao,1661,,"Vertolen, Andries Cornelis"
11726,Rebecca,Texel,Ardra,Curacao,1671,,"Vertolen, Andries Cornelis"
11728,Jonge Prins van Oranje,Texel,Ardra,Curacao,1672,369,"Schaap, Isaac Gerritse<br/> Dircksz, Sijmon"
82327,Liverpool Hero,Liverpool,Calabar,"Dominica, port unspecified",1787,230,"Cooper, John"
82328,Liverpool Hero,Liverpool,Calabar,"Grenada, port unspecified",1791,286,"Smith, Thomas<br/> Lace, William"
82329,Liverpool Hero,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Grenada, port unspecified",1792,343,"Hodgson, Joseph<br/> Mount, John"
82330,Liverpool Hero,Liverpool,"Bight of Benin, port unspecified",,1793,,"Thornborrow, John"
82331,Liverpool Hero,Liverpool,"Gold Coast, port unspecified",Suriname,1799,,"Hackney, Alexander"
82332,Liverpool Hero,Liverpool,Porto Novo,,1800,,"Laing, Alexander"
82333,Llan Rumney,London,"Gold Coast, port unspecified",Kingston,1807,261,"Matthews, A"
82334,London,London,"Gold Coast, port unspecified","St. Vincent, port unspecified",1793,244,"Ryan, Patrick"
82335,London,Liverpool,Bonny,St. Thomas,1799,368,"Briscoe, Thomas"
82336,London,Liverpool,Bonny,"Martinique, port unspecified",1800,297,"Lightfoot, William"
82337,London,London,"Gold Coast, port unspecified",Suriname,1806,204,"Watson, Robert<br/> Bowen, Jeremiah"
82338,London,London,"Gold Coast, port unspecified","Trinidad, port unspecified",1808,,"Bowen, J"
82339,Lord Charlemont,Liverpool,Malembo,Kingston,1793,304,"Pinder, Richard<br/> Royle, William"
82340,Lord Duncan,Liverpool,Congo River,Kingston,1800,127,"Kewley, William<br/> King, Charles"
82341,Lord Duncan,Liverpool,Benin,"Jamaica, port unspecified",1799,194,"Hodgson, John<br/> Cowan, Alexander"
82344,Lord Germain,London,Anomabu,Montego Bay,1781,450,"Thoburn, William"
82345,Lord Howe,Liverpool,Cameroons,"Grenada, port unspecified",1793,213,"Mills, James"
82346,Lord Nelson,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1800,360,"Stephens, Hugh<br/> Kendall, John"
82347,Lord Nelson,Liverpool,Cape Mount (Cape Grand Mount),Demerara,1801,255,"Wilson, John<br/> Armstrong"
82348,Lord Nelson,Liverpool,"Africa., port unspecified","Trinidad, port unspecified",1802,271,"Darnoult, Francis"
82349,Lord Nelson,Liverpool,"Africa., port unspecified","Bahamas, port unspecified",1803,250,"Westron, Isaac"
82350,Lord Nelson,Liverpool,Cape Mount (Cape Grand Mount),Suriname,1805,371,"Omen, Thomas<br/> Dickinson, Samuel"
82351,Lord Nelson,Liverpool,,,1805,,"Darnoult, Francis"
82352,Lord Nelson,Liverpool,New Calabar,Havana,1803,258,"Maginnis, John"
82353,Lord Nelson,Liverpool,"Africa., port unspecified",St. Thomas,1804,316,"Maginnis, John"
82354,Lord Nelson,Liverpool,Bonny,Cayenne,1805,,"Martin, Robert"
82355,Lord Rodney,Liverpool,Congo North,Charleston,1804,333,"Carlile, Ladwick"
82356,Lord Rodney,Liverpool,Congo River,Suriname,1805,369,"Carlile, Ludwick"
82357,Lord Rodney,Liverpool,"Gold Coast, port unspecified",Kingston,1807,334,"Carlile, Ludwick"
82358,Lord Saint Vincent,Liverpool,,,1802,,"Armstrong, Benjamin"
82359,Bellona,Liverpool,Whydah,Kingston,1782,411,"Richardson, Samuel<br/> Holland, Francis"
82360,Bellona,Liverpool,Bonny,Kingston,1784,525,"Holland, Francis"
82361,Bellona,Liverpool,Bonny,"Dominica, port unspecified",1785,340,"Holland, Francis"
82362,Maria,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","St. Vincent, port unspecified",1787,400,"Matthews, Joseph"
82363,Lord Stanley,Liverpool,Calabar,"Grenada, port unspecified",1789,300,"Jolly, Thomas"
82364,Lord Stanley,Liverpool,"West Central Africa and St. Helena, port unspecified","Grenada, port unspecified",1791,346,"Farquhar, George<br/> Lawson"
82365,Lord Stanley,Liverpool,"West Central Africa and St. Helena, port unspecified","Grenada, port unspecified",1792,372,"Farquhar, George"
82366,Lord Stanley,Liverpool,Ambriz,Havana,1794,398,"Farquhar, George"
82367,Lord Stanley,Liverpool,Ambriz,Havana,1795,365,"Farquhar, George"
82368,Lord Stanley,Liverpool,Congo River,Kingston,1797,374,"Hollywood, Edward<br/> Maginnis, John"
82369,Lord Stanley,Liverpool,Calabar,Kingston,1798,385,"Murdock, William"
82370,Lord Stanley,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1799,386,"Murdock, William"
82371,Lord Stanley,Liverpool,Bonny,Kingston,1801,260,"Kirby, John"
82372,Lord Stanley,Liverpool,Bonny,Kingston,1804,249,"Livesley, Thomas"
82374,Lord Thurlow,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1800,333,"Jones, John<br/> Shaw, Robert"
82377,Lottery,Liverpool,Bonny,Kingston,1796,457,"Stringer, William"
82378,Lottery,Liverpool,Bonny,Kingston,1797,450,"Whittle, John"
82379,Lottery,Liverpool,Bonny,Kingston,1798,460,"Whittle, John"
82380,Lottery,Liverpool,Bonny,Montego Bay,1800,436,"Leathom, Roger"
82381,Lottery,Liverpool,Bonny,"Jamaica, port unspecified",1801,,"Whittle, John"
82382,Lottery,Liverpool,Bonny,Montego Bay,1802,305,"Kneal, Charles"
82383,Lottery,Liverpool,"Africa., port unspecified",Havana,1804,295,"Kneal, Charles"
82384,Lottery,Liverpool,Bonny,Montego Bay,1807,225,"Harney, Thomas<br/> VanRanst, Samuel"
82385,Louisa,Liverpool,Gambia,"Dominica, port unspecified",1786,75,"Forrest, James"
82386,Louisa,Liverpool,Gambia,"Grenada, port unspecified",1788,160,"Forrest, James"
82387,Louisa,Liverpool,New Calabar,"Grenada, port unspecified",1792,252,"Christian, David"
82388,Louisa,Liverpool,New Calabar,Montego Bay,1793,233,"Christian, David"
82389,Louisa,Liverpool,Ambriz,Kingston,1794,234,"Atkinson, Thomas"
82390,Louisa,Liverpool,Ambriz,Kingston,1795,222,"Atkinson, Thomas"
82391,Louisa,Liverpool,Malembo,Kingston,1798,455,"Brown, William"
82392,Louisa,Liverpool,Bonny,Kingston,1800,453,"Brown, William"
82393,Louisa,Liverpool,Bonny,"Jamaica, port unspecified",1801,,"Bernard, George"
82394,Louisa,Liverpool,Bonny,Montego Bay,1802,326,"Lawson, Caesar"
82395,Louisa,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1804,308,"Harney, Thomas"
82396,Louisa,Liverpool,"Africa., port unspecified",Charleston,1804,,"Harney, Thomas"
82398,Lovely Lass,,"Africa., port unspecified",Havana,1802,96,
82402,Lovely Lass,Liverpool,,,1797,,"Lace, William"
82403,Lucy,Liverpool,New Calabar,"Trinidad, port unspecified",1800,,"Vaughan, Daniel"
82404,Lucy,Liverpool,Goree,Demerara,1801,,"Olderman, John<br/> Smith, John"
82405,Lucy,Liverpool,"Africa., port unspecified","Trinidad, port unspecified",1806,,"Burrows, Richard<br/> Palliser, Thomas"
82406,Lucy,Liverpool,Calabar,Basse-Terre,1806,,"Forster, George"
82407,Lucy,Liverpool,Bonny,"Trinidad, port unspecified",1806,239,"Williams, William"
82408,Lucy,Liverpool,Accra,Kingston,1808,262,"Hackney, Alexander"
82409,Lune,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1799,292,"Taylor, James<br/> Jackson, Whitfield"
82410,Lune,Liverpool,,,1800,,"Mills, Michael"
82412,Macclesfield,Liverpool,Congo River,Charleston,1804,298,"Belcher, Elijah<br/> Wilson, Adam James"
82413,Macclesfield,Liverpool,Bonny,Zion Hill,1806,,"Smith, George"
82414,Macclesfield,Liverpool,Bonny,"St. Lucia, port unspecified",1806,,"Smith, George"
82415,Madam Pookata,Liverpool,Cabinda,Havana,1783,,"Wilson, Charles<br/> Molyneux, John"
82416,Isaac,Liverpool,Iles de Los,"Dominica, port unspecified",1784,180,"Willacy, Thomas"
82417,Madam Pookata,Liverpool,Ambriz,"Dominica, port unspecified",1786,208,"Dixon, Thomas"
82418,Madam Pookata,Liverpool,Ambriz,"Dominica, port unspecified",1787,164,"Brown, Thomas"
82419,Madam Pookata,Liverpool,Ambriz,"Dominica, port unspecified",1788,192,"Brown, Thomas"
82420,Madam Pookata,Liverpool,"West Central Africa and St. Helena, port unspecified","Dominica, port unspecified",1789,176,"Brown, Thomas"
82421,Madam Pookata,Liverpool,"West Central Africa and St. Helena, port unspecified",St. Maarten,1789,173,"Brown, Thomas"
82422,Madam Pookata,Liverpool,Cabinda,"Dominica, port unspecified",1791,122,"Swan, Joseph<br/> Irwin, James"
82423,Madam Pookata,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Vincent, port unspecified",1792,169,"Withering, Richard"
82424,Madam Pookata,Liverpool,"Africa., port unspecified","Grenada, port unspecified",1793,,"Hodgson, James"
82427,Malvina,London,"Africa., port unspecified",Suriname,1804,,"Watts, J<br/> Kavannah"
82428,Manchester,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1794,,"Kendall, Richard"
82429,Manchester,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1795,,"Kendall, Richard<br/> Holmes, John"
82430,Manchester,Liverpool,,,1796,,"Kendall, John<br/> Fitzpatrick, James"
82431,Mandova Grove,Liverpool,"West Central Africa and St. Helena, port unspecified","Dominica, port unspecified",1786,114,"McDonald<br/> M'dn'ght<br/> Raphael, James"
82432,Margaret,Liverpool,"West Central Africa and St. Helena, port unspecified","Barbados, port unspecified",1798,223,"Richardson, Eglinton"
82433,Margaret,Liverpool,"West Central Africa and St. Helena, port unspecified","Barbados, port unspecified",1799,222,"Richardson, Eglinton"
82434,Margaret,Liverpool,Gabon,"Grenada, port unspecified",1793,97,"Kerr, William<br/> Allan, William"
82435,Margaret,Liverpool,Sierra Leone estuary,"Grenada, port unspecified",1789,181,"Kendall, Richard"
82436,Margaret,Liverpool,Sierra Leone estuary,"Grenada, port unspecified",1791,207,"Kendall, Richard"
82437,Margaret,Liverpool,Sierra Leone estuary,"Grenada, port unspecified",1792,188,"Kendall, Richard"
82438,Margaret,Liverpool,"Africa., port unspecified","St. Vincent, port unspecified",1802,,"Young, John"
82439,Margaret,Liverpool,"Africa., port unspecified","Dominica, port unspecified",1803,241,"Young, John"
82440,Margaret,Liverpool,"Africa., port unspecified",St. Thomas,1804,249,"Young, John"
82441,Margaret,Liverpool,Congo North,Charleston,1805,260,"Young, John"
82442,Margaret,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1806,206,"Gwin, John"
82443,Margaret,Liverpool,Congo River,Kingston,1808,238,"Gwin, John"
82444,Margaret (a) Sally,Liverpool,Congo North,New Orleans,1804,200,"Lace, William<br/> Bowes"
82445,Margaret,Liverpool,Congo River,Charleston,1805,200,"Bowes, Edward"
82446,Margaret,Liverpool,"Senegambia and offshore Atlantic, port unspecified",Charleston,1806,150,"Martin, Charles"
82447,Margaret,Liverpool,Congo River,"French Caribbean, colony unspecified",1807,,"Tyrer, Henry"
82448,Margaret and Eliza,Liverpool,"West Central Africa and St. Helena, port unspecified",St. Maarten,1803,,"Barry, Thomas<br/> Postlethwaite"
82449,Margery,Liverpool,Cape Mount (Cape Grand Mount),"Grenada, port unspecified",1790,247,"Hauit, George"
82450,Margery,Liverpool,Gambia,"Dominica, port unspecified",1792,274,"Rigby, Gilbert<br/> Oliver, Thomas"
82451,Margery,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Grenada, port unspecified",1793,259,"Oliver, Thomas"
82452,Margery,Liverpool,,,1794,,"Holliwell, John"
82454,Margery and Mary,Liverpool,Sierra Leone estuary,"Grenada, port unspecified",1807,,"Darnoult, Francis"
82455,Maria,London,Gambia,"Jamaica, port unspecified",1791,85,Anderson<br/> Mollett
82456,Maria,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Kitts, port unspecified",1799,117,"Phillips, Thomas"
82458,Maria,Liverpool,Ambriz,Kingston,1798,176,"Erskine, Andrew"
82459,Maria,Liverpool,"Africa., port unspecified",,1795,,"Mackay, William<br/> Watson"
82460,Maria,London,Anomabu,Havana,1787,230,Dennison
82461,Maria,Liverpool,Cape Mount (Cape Grand Mount),Demerara,1798,360,"Martin, Robert"
82462,Maria,Liverpool,,,1799,,"Martin, Robert"
82463,Maria,Liverpool,Calabar,Suriname,1803,,"Campbell, John"
82464,Maria,Liverpool,Bonny,Havana,1804,355,"Tobin, Thomas<br/> Cubbin, Thomas"
82465,Maria,Liverpool,Bonny,Kingston,1805,331,"Price, William"
82466,Maria,Liverpool,Bonny,Kingston,1807,362,"Price, William"
82467,Lord Stanley,Liverpool,Cameroons,"Barbados, port unspecified",1787,204,"Smale, John"
82468,Maria,Liverpool,Bimbia,"Martinique, port unspecified",1790,,"Leathom, Roger"
82469,Maria,London,Cape Coast Castle,,1791,,Mollett
82473,Marquis of Huntley,London,Congo River,Charleston,1805,381,"Hamilton, Hance"
82474,Marquis of Huntley,London,Bonny,"Dominica, port unspecified",1808,360,"Martin, Robert"
82476,Mars,,"Africa., port unspecified",British Leewards,1781,,Smith
82477,Mars,Liverpool,"West Central Africa and St. Helena, port unspecified",Savannah,1803,197,"White, Robert<br/> Bennett, William"
82478,Mars,Liverpool,"West Central Africa and St. Helena, port unspecified",Suriname,1804,207,"White, Robert<br/> Tyrie, John"
82479,Mars,Liverpool,Gambia,Charleston,1806,100,"Mitchell, John"
82482,Mars,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1781,,"Forsyth, John"
82483,Mars,Liverpool,Cameroons,"Grenada, port unspecified",1789,213,"Wade, John Robinson"
82484,Mars,Liverpool,Calabar,"Grenada, port unspecified",1791,218,"Hewitt, William"
82485,Mars,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","St. Vincent, port unspecified",1792,232,"Hewitt, William<br/> Powell, John"
82486,Mars,Liverpool,"Africa., port unspecified","Barbados, port unspecified",1793,,"Woodville, William (Jr)"
82487,Mars,Liverpool,Loango,Kingston,1795,266,"Woodville, William<br/> Preston, John"
82488,Mars,London,"Gold Coast, port unspecified",Kingston,1782,284,"Patterson, Robert"
82489,Martha,,"Africa., port unspecified",Suriname,1802,75,
82490,Martha,Liverpool,Sierra Leone estuary,"Grenada, port unspecified",1789,227,"Nicholson, Alexander"
82491,Martha,Liverpool,"Africa., port unspecified","Jamaica, port unspecified",1790,200,"Huson, Thomas"
82492,Martha,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Montego Bay,1791,242,"Huson, Thomas"
82493,Martha,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1792,261,"Taylor, Thomas"
82494,Martha,Liverpool,"West Central Africa and St. Helena, port unspecified","Barbados, port unspecified",1795,,"Harold, Thomas"
82495,Martha,Liverpool,"West Central Africa and St. Helena, port unspecified",Demerara,1797,362,"Harold, Thomas<br/> Worthington, Matthew"
82496,Martha,Liverpool,Bonny,"St. Vincent, port unspecified",1798,371,"Taylor, Thomas"
82497,Martha,Liverpool,New Calabar,"St. Vincent, port unspecified",1799,331,"Taylor, Thomas"
82498,Martha,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1801,252,"Henshall, Philip"
82499,Martha,Liverpool,"Africa., port unspecified","Bahamas, port unspecified",1802,249,"Henshall, Philip"
82500,Martha,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Havana,1803,211,"Henshall, Phillip"
82506,Mary,"British Americas, port unspecified","Africa., port unspecified",,1786,,Allanson
82508,Mary,London,,,1802,,Fiddis
82509,Mary,Liverpool,"Africa., port unspecified",,1796,,"Houghton, Thomas"
82512,Mary,Liverpool,"Lagos, Onim","Dominica, port unspecified",1786,144,"Potter, James<br/> Mastertown, William"
82513,Mary,Liverpool,"Lagos, Onim","Grenada, port unspecified",1788,,"Greenall, Jonathan"
82514,Mary,Liverpool,Benin,"Grenada, port unspecified",1789,121,"Rigby, James"
82515,Mary,Liverpool,Porto Novo,Kingston,1790,202,"Rigby, James"
82516,Mary,Liverpool,"Bight of Benin, port unspecified","St. Vincent, port unspecified",1792,209,"Rigby, James"
82517,Mary,Liverpool,"Africa., port unspecified","Grenada, port unspecified",1792,,"Rigby, James"
82518,Mary,Liverpool,"Bight of Benin, port unspecified",Kingston,1795,225,"Cartmell, William"
82519,Mary,Liverpool,"Bight of Benin, port unspecified","Barbados, port unspecified",1796,228,"Thomas, William"
82520,Mary,Liverpool,Porto Novo,Demerara,1797,,"Hackney, Alexander"
82521,Mary,Liverpool,,,1798,,"Flint, Thomas"
82522,Mary,Liverpool,"Africa., port unspecified","Dominica, port unspecified",1788,79,"Smith, William"
82523,Mary,Liverpool,"Africa., port unspecified","Jamaica, port unspecified",1790,157,"McLean, Daniel"
82524,Mary,Liverpool,Congo River,"Grenada, port unspecified",1791,197,"Johnston, Thomas"
82525,Mary,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Vincent, port unspecified",1793,274,"Evans, Jenkin"
82526,Mary,Liverpool,"Bight of Benin, port unspecified","St. Vincent, port unspecified",1791,188,"Harold, Thomas"
82527,Mary,Liverpool,"West Central Africa and St. Helena, port unspecified","Barbados, port unspecified",1793,189,"Harold, Thomas"
82528,Mary,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1795,194,"Spencer, John"
82529,Mary,,Cape Coast Castle,"St. Vincent, port unspecified",1798,159,
82530,Mary,"St. Kitts, port unspecified",Cape Coast Castle,"Martinique, port unspecified",1799,156,
82531,Mary,London,Cape Mole,Demerara,1798,96,"Bowers, Stephen"
82532,Mary,"Barbados, port unspecified","Gold Coast, port unspecified",Demerara,1799,70,"Sinclair, John"
82537,Mary,Liverpool,,,1791,,Foulkes<br/> Mawdesley
82538,Mary,Liverpool,Bonny,Kingston,1806,393,"Crow, Hugh"
82539,Mary,London,"Gold Coast, port unspecified",Kingston,1795,442,"Gordon, Alexander<br/> Galt"
82540,Mary,Liverpool,,,1798,,"Hird, James"
82542,Mary,Liverpool,Iles de Los,"Grenada, port unspecified",1786,299,"Griffiths, William<br/> Coupland"
82543,Mary,Liverpool,Calabar,"Dominica, port unspecified",1787,248,"Fairweather, Patrick<br/> Harrison, Robert"
82544,Mary,Liverpool,New Calabar,"St. Vincent, port unspecified",1788,,"Overton, Barton"
82545,Mary,Liverpool,Calabar,"Dominica, port unspecified",1789,180,"Fairweather, Patrick<br/> Platt, William"
82546,Mary,Liverpool,New Calabar,"Grenada, port unspecified",1790,263,"Boys, William"
82547,Mary,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Grenada, port unspecified",1791,223,"Robinson, John<br/> Harrocks, James"
82548,Mary,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Montego Bay,1792,225,"Rigmaiden, Thomas"
82549,Mary,Liverpool,"West Central Africa and St. Helena, port unspecified","Grenada, port unspecified",1794,274,"Mills, Michael<br/> Davis, John"
82550,Mary,Liverpool,Cape Mount (Cape Grand Mount),Kingston,1796,236,"Boys, William"
82551,Mary,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1797,238,"Henshall, Philip"
82552,Mary,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Kitts, port unspecified",1798,181,"Farquhar, William<br/> Henshall, Philip"
82553,Mary,Liverpool,"West Central Africa and St. Helena, port unspecified","Jamaica, port unspecified",1799,275,"Henshall, Phillip"
82554,Mary,Liverpool,"Africa., port unspecified","Trinidad, port unspecified",1801,,"Durack, Richard"
82555,Mary,Liverpool,Gallinhas,"Bahamas, port unspecified",1802,201,"Durack, Richard"
82557,Mary,Liverpool,Cape Mount (Cape Grand Mount),Kingston,1789,271,"Lancelott, Hugh"
82558,Mary,Liverpool,Bonny,Montego Bay,1791,404,"Lancelott, Hugh<br/> Harding, William"
82559,Mary,Liverpool,Bonny,"Dominica, port unspecified",1792,392,"Harding, William"
82560,Mary,Liverpool,Bonny,Montego Bay,1792,417,"Lancelott, Hugh"
82561,Mary,Liverpool,Bonny,Montego Bay,1795,408,"Lancelott, Hugh<br/> Cuite, Benjamin"
82562,Mary,Liverpool,Bonny,Kingston,1798,395,"Brelsford, John"
82563,Mary,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1800,406,"Cannell, Thomas"
82564,Mary,Liverpool,Bonny,Kingston,1802,375,"Bradley, John"
82565,Mary,Liverpool,"Africa., port unspecified",Havana,1804,291,"Currie, Archibald"
82566,Mary,Liverpool,Bonny,Havana,1802,361,"Barr, James"
82567,Mary,Liverpool,Bonny,Demerara,1805,372,"Bushell, Thomas"
82568,Mary,Liverpool,"Lagos, Onim","St. Vincent, port unspecified",1806,,"Crosby, Edward"
82569,Mary,Liverpool,Bonny,Demerara,1807,,"Stringer, William"
82570,Mary,Liverpool,"West Central Africa and St. Helena, port unspecified","Martinique, port unspecified",1799,255,"Erskine, Andrew"
82571,Mary,Liverpool,Windward Coast (Nunez - Assini),"Trinidad, port unspecified",1802,173,"Bale, Robert<br/> Thompson, Robert"
82572,Mary,Liverpool,"West Central Africa and St. Helena, port unspecified",Savannah,1803,,"Thompson, Robert"
82573,Mary,Liverpool,Congo North,Savannah,1804,,"Ashton, John"
82577,Mary,Liverpool,"Bight of Benin, port unspecified","St. Vincent, port unspecified",1793,168,"Horsley, William"
82578,Mary,Liverpool,Whydah,Kingston,1795,220,"Wilkinson, Richard<br/> Phillips, James"
82579,Mary,Liverpool,Cameroons,St. Croix,1797,244,"Hunter, James"
82580,Mary,London,"Gold Coast, port unspecified",Kingston,1803,364,"Anderson, Christopher"
82581,Mary,London,"Gold Coast, port unspecified",Suriname,1804,372,"Anderson, Christopher"
82582,Mary,London,Accra,Kingston,1806,377,"Adams, George<br/> Liddle, John"
82583,Mary,London,Anomabu,"Dominica, port unspecified",1789,257,"Thomson, James"
82584,Mary,London,"Gold Coast, port unspecified","Grenada, port unspecified",1790,257,"Thomson, James"
82585,Mary,London,"Gold Coast, port unspecified",Kingston,1791,250,Squires<br/> Knies<br/> Willoughby
82586,Mary,London,"Windward Coast, port unspecified","Jamaica, port unspecified",1792,171,Willoughby
82587,Mary,London,,,1794,,Willoughby
82588,Mary,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Dominica, port unspecified",1786,200,"Willacy, Thomas<br/> Barrow, James"
82589,Mary,Liverpool,New Calabar,"Dominica, port unspecified",1787,261,"Deane, Edward"
82590,Mary,Liverpool,New Calabar,"Dominica, port unspecified",1787,264,"Deane, Edward"
82591,Mary,Liverpool,Cape Mount (Cape Grand Mount),"Dominica, port unspecified",1789,197,"Hauit, George<br/> Hornby, Charles"
82592,Mary,Liverpool,Cape Mount (Cape Grand Mount),Montego Bay,1790,141,"Hornby, Charles"
82593,Mary,Liverpool,New Calabar,"Dominica, port unspecified",1791,294,"Hornby, Charles"
82594,Mary,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Montego Bay,1792,261,"Hornby, Charles"
82595,Mary,Liverpool,,,1794,,"Hunter, J"
82597,Mary,London,"Africa., port unspecified","Barbados, port unspecified",1798,,"Black, George"
82598,Mary,"Barbados, port unspecified",Cape Coast Castle,"Barbados, port unspecified",1799,,"Black, George"
82599,Mary,"Barbados, port unspecified","Africa., port unspecified","Barbados, port unspecified",1800,152,"Black, George"
82601,Mary,London,Bance Island (Ben's Island),"St. Kitts, port unspecified",1784,150,"Griffith, Eaglesfield"
82603,Mary,London,Bance Island (Ben's Island),Charleston,1785,157,"Bowie, James"
82604,Mary,London,Bance Island (Ben's Island),"St. Kitts, port unspecified",1786,156,"Bowie, James<br/> McLean, James"
82605,Mary,"St. Kitts, port unspecified",Bance Island (Ben's Island),"St. Kitts, port unspecified",1787,140,"McLean, James"
82606,Mary,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1799,188,"Askew, John<br/> Bonsall, John"
82607,Mary,Liverpool,"Africa., port unspecified",Savannah,1801,,"Wright, Thomas"
