Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
8514,NS da Purificacão e S Antônio da Barra,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1723,,"Pereira, Pascoal de Souza"
8515,S Cruz dos Portos,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1723,,"Bahia, Virienno Martins"
8516,NS da Encarnação e Menino Jesus,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1723,,"Soares, Faustino"
8517,NS de Guadalupe S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1723,,"Cunha, Sebastião da"
8518,S José,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1723,,"Crato, Manoel do"
8519,NS da Conceição e S João Batista,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1724,,"Mira, Manoel da Costa"
8520,NS do Varadouro e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1724,,"Almeida, Bernardo Gomes de"
8521,NS da Conceição e S Antônio,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1724,,"Soares, Manoel"
8522,NS de Nazaré e S Antônio,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1724,,"Silva, Miguel de"
8523,Bom Jesus e S Antônio,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1724,,"Far, Antônio Ferreira"
8524,NS de Nazaré e S Antônio,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1724,,"Pereira, Miguel Gonçalves"
8525,NS do Carmo e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1724,,"Neves, José Rodrigues"
8526,S Gertrudes e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1724,,"Cobra, José Ferreira"
8527,NS dos Prazeres e S Antônio,Rio de Janeiro,Luanda,Rio de Janeiro,1724,,"Couto, Ambrósio Gomes do"
8528,NS da Conceição e S Antônio,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1724,,"Borges, João da Silva"
8529,NS do Rosario e Santana,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1724,,"Faial, Manoel da Rosa"
8530,Aleluia da Ressurreição e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1724,433,"Vieira, Félix Garcia"
8531,NS do Rosario e S Domingos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1724,,"Vieira, Luís Nunes"
8532,S Luísa e S Pedro,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1724,,"Silva, Manoel Francisco da"
8533,NS do Rosario e S Domingos,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1724,,"Paiva, Jerônimo de"
