,Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s),Longitude,Latitude
66,JAPAN,3.0,0.2,2.3,1.5,7.1,3.4,5554.144,139.2394179,36.5748441
67,JORDAN,2.0,0.7600000000000001,2.58,5.72,11.76,3.5,828.3772000000001,36.941628,31.1667049
68,KAZAKHSTAN,2.0,1.58,4.2,9.7,15.02,3.76,1485.4536,65.2093197,47.2286086
69,KENYA,1.0,2.3625000000000003,6.466666666666668,5.95,37.14444444444445,16.75,5569.0088888888895,38.4313975,1.4419683
70,KIRIBATI,1.0,,12.6,15.9,34.4,13.2,11.626,173.664834025,0.306
71,KUWAIT,3.0,0.6285714285714284,2.5222222222222226,7.98888888888889,4.661111111111112,2.353333333333333,254.76288888888882,47.4979476,29.2733964
72,KYRGYZSTAN,1.0,0.8166666666666668,2.533333333333333,7.666666666666665,19.916666666666668,4.366666666666667,642.159,74.724091,41.5089324
73,LAO PEOPLE'S DEMOCRATIC REP. (THE),1.0,3.2,10.514285714285714,2.4,44.92857142857143,30.87142857142857,794.602857142857,,
74,LEBANON,2.0,2.25,5.1,18.75,16.85,3.85,436.8065,35.843409,33.8750629
75,LESOTHO,1.0,1.62,6.671428571428571,9.82,40.2,14.085714285714287,263.2922857142857,28.3350193,-29.6039267
76,LIBERIA,0.0,1.7799999999999998,5.84,3.4799999999999995,37.22,17.740000000000006,618.2774000000002,-9.3658524,5.7499721
77,LIBYA,2.0,3.233333333333333,6.766666666666667,21.8,26.73333333333333,7.166666666666668,621.9033333333333,18.1236723,26.8234472
78,MADAGASCAR,0.0,2.24,9.957142857142856,2.5,52.575,34.31428571428571,2932.9285,46.4416422,-18.9249604
79,MALAWI,0.0,1.6076923076923082,4.64,7.484615384615385,49.10714285714285,17.40666666666667,2409.5668,33.9301963,-13.2687204
80,MALAYSIA,2.0,,11.6,6.2,19.075,18.14,2533.1929,102.2656823,4.5693754
81,MALDIVES,2.0,4.725,15.779999999999998,4.66,32.6,30.32,36.0454,73.3287853,4.7064352
82,MALI,0.0,4.457142857142856,13.242857142857144,2.2,34.41428571428572,26.67142857142857,2533.5642857142857,-2.2900239,16.3700359
83,MARSHALL ISLANDS,2.0,1.1,3.5,4.1,34.8,11.9,1.0,168.0002575,8.9995549
84,MAURITANIA,1.0,3.975,13.41,2.6375,34.17,24.86666666666667,500.2949,-9.2399263,20.2540382
85,MAURITIUS,2.0,,17.0,7.65,20.45,17.05,107.675,57.5703566,-20.2759451
86,MEXICO,2.0,0.6499999999999999,3.825,7.371428571428572,19.175,6.525,11349.53525,-99.1331785,19.4326296
